tunecache	1.1.0	1.1.0--sm_70	cpu_arch=x86_64,gpu_arch=sm_70,cuda_version=11.6.124	# Last updated Mon Aug  7 20:10:31 2023

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,cmem,vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	32	1	1	32768	1	1	0	-1	-1	-1	-1	0.000496235	# 0.00 Gflop/s, 811.42 GB/s, tuning took 0.078503 seconds at Mon Aug  7 20:10:28 2023
     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,cmem,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3,RelBasis	128	1	1	8192	1	1	0	-1	-1	-1	-1	0.000492011	# 0.00 Gflop/s, 818.38 GB/s, tuning took 0.058021 seconds at Mon Aug  7 20:10:30 2023
     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy,GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000111100110000	32	1	1	1	1	1	0	6	0	0	-1	0.00194555	# 711.43 Gflop/s, 1241.77 GB/s, tuning took 0.109958 seconds at Mon Aug  7 20:10:30 2023
     16x32x32x64	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=single,GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,comm=0000	128	1	1	8192	1	1	49153	-1	-1	-1	-1	0.001947	# 710.90 Gflop/s, 1240.84 GB/s, tuning took 2.393836 seconds at Mon Aug  7 20:10:30 2023
     32x32x32x64	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,lie_group	384	1	1	2731	2	1	16385	-1	-1	-1	-1	0.0046939	# 0.00 Gflop/s, 176.93 GB/s, tuning took 6.210466 seconds at Mon Aug  7 17:49:51 2023
     32x32x32x64	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,extract	32	1	3	2048	1	3	0	-1	-1	-1	-1	7.94658e-05	# 0.00 Gflop/s, 554.20 GB/s, tuning took 0.161376 seconds at Mon Aug  7 17:49:36 2023
     32x32x32x64	N4quda7RNGInitE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3	320	2	1	3277	1	1	0	-1	-1	-1	-1	0.0305155	# 0.00 Gflop/s, 0.00 GB/s, tuning took 4.549793 seconds at Mon Aug  7 17:49:45 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,cmem,vol=2097152stride=1048576precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3	64	1	1	16384	1	8	0	-1	-1	-1	-1	0.00240693	# 0.00 Gflop/s, 846.90 GB/s, tuning took 3.933552 seconds at Mon Aug  7 17:49:35 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1048576precision=8geometry=4Nc=3	96	1	1	10923	1	8	0	-1	-1	-1	-1	0.00252437	# 0.00 Gflop/s, 807.50 GB/s, tuning took 4.134688 seconds at Mon Aug  7 17:49:55 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3	32	1	1	32768	1	8	0	-1	-1	-1	-1	0.00142235	# 0.00 Gflop/s, 875.81 GB/s, tuning took 2.427331 seconds at Mon Aug  7 17:49:40 2023
     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3	96	1	1	10923	1	8	0	-1	-1	-1	-1	0.00122185	# 0.00 Gflop/s, 849.61 GB/s, tuning took 2.105499 seconds at Mon Aug  7 17:49:38 2023
  bytes=22020096	cudaMemset	allocateGhostBuffer,lattice_field.cpp,288	32	1	1	1	1	1	0	-1	-1	-1	-1	2.95069e-05	# 0.00 Gflop/s, 746.27 GB/s, tuning took 0.003124 seconds at Mon Aug  7 17:49:35 2023
  bytes=22020096	cudaMemset	allocateGhostBuffer,lattice_field.cpp,293	32	1	1	1	1	1	0	-1	-1	-1	-1	2.9634e-05	# 0.00 Gflop/s, 743.07 GB/s, tuning took 0.001119 seconds at Mon Aug  7 17:49:35 2023
 bytes=301989888	cudaMemcpyDefault	copy,cuda_gauge_field.cpp,576	32	1	1	1	1	1	0	-1	-1	-1	-1	0.000770731	# 0.00 Gflop/s, 391.82 GB/s, tuning took 0.005783 seconds at Mon Aug  7 17:49:31 2023
